id,Nazwa produktu,Producent,id,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,
17,FRONTROCK PLUS,ROCKWOOL,65,1,M2,,,1000,600,,60,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,66,1,M2,,,1000,600,,80,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,67,1,M2,,,1000,600,,100,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,68,1,M2,,,1000,600,,120,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,69,1,M2,,,1000,600,,140,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,70,1,M2,,,1000,600,,150,paczka,1,pełna paleta
17,FRONTROCK PLUS,ROCKWOOL,4007,,M2,,,,,,160,,,
17,FRONTROCK PLUS,ROCKWOOL,4008,,M2,,,,,,180,,,
17,FRONTROCK PLUS,ROCKWOOL,4009,,M2,,,,,,200,,,
17,FRONTROCK PLUS,ROCKWOOL,4010,,M2,,,,,,220,,,
17,FRONTROCK PLUS,ROCKWOOL,4011,,M2,,,,,,240,,,
17,FRONTROCK PLUS,ROCKWOOL,4012,,M2,,,,,,250,,,
18,FRONTROCK SUPER,ROCKWOOL,71,1,M2,,,1000,600,,80,paczka,1,pełna paleta
18,FRONTROCK SUPER,ROCKWOOL,72,1,M2,,,1000,600,,100,paczka,1,pełna paleta
18,FRONTROCK SUPER,ROCKWOOL,73,1,M2,,,1000,600,,120,paczka,1,pełna paleta
18,FRONTROCK SUPER,ROCKWOOL,74,1,M2,,,1000,600,,140,paczka,1,pełna paleta
18,FRONTROCK SUPER,ROCKWOOL,75,1,M2,,,1000,600,,150,paczka,1,pełna paleta
18,FRONTROCK SUPER,ROCKWOOL,76,1,M2,,,1000,600,,160,paczka,1,pełna paleta
18,FRONTROCK SUPER,ROCKWOOL,77,1,M2,,,1000,600,,180,paczka,1,pełna paleta
18,FRONTROCK SUPER,ROCKWOOL,78,1,M2,,,1000,600,,200,paczka,1,pełna paleta
19,FRONTROCK L,ROCKWOOL,81,1,M2,,,1200,200,,50,paczka,1,pełna paleta
19,FRONTROCK L,ROCKWOOL,82,1,M2,,,1200,200,,100,paczka,1,pełna paleta
19,FRONTROCK L,ROCKWOOL,83,1,M2,,,1200,200,,120,paczka,1,pełna paleta
19,FRONTROCK L,ROCKWOOL,84,1,M2,,,1200,200,,150,paczka,1,pełna paleta
19,FRONTROCK L,ROCKWOOL,85,1,M2,,,1200,200,,200,paczka,1,pełna paleta
20,FRONTROCK S,ROCKWOOL,86,1,M2,,,1000,600,,20,paczka,1,pełna paleta
20,FRONTROCK S,ROCKWOOL,87,1,M2,,,1000,600,,30,paczka,1,pełna paleta
20,FRONTROCK S,ROCKWOOL,88,1,M2,,,1000,600,,40,paczka,1,pełna paleta
20,FRONTROCK S,ROCKWOOL,89,1,M2,,,1000,600,,50,paczka,1,pełna paleta
21,FASROCK G,ROCKWOOL,90,1,M2,,,1000,200,,50,paleta,1,pełna paleta
21,FASROCK G,ROCKWOOL,91,1,M2,,,1000,200,,80,paleta,1,pełna paleta
21,FASROCK G,ROCKWOOL,92,1,M2,,,1000,200,,100,paleta,1,pełna paleta
21,FASROCK G,ROCKWOOL,93,1,M2,,,1000,200,,120,paleta,1,pełna paleta
21,FASROCK G,ROCKWOOL,94,1,M2,,,1000,200,,150,paleta,1,pełna paleta
21,FASROCK G,ROCKWOOL,95,1,M2,,,1000,200,,200,paleta,1,pełna paleta
22,Siatka osłonowa,ROCKWOOL,96,1,szt,,,7000,2600,,,,7,szt
22,Siatka osłonowa,ROCKWOOL,97,1,szt,,,14000,2600,,,,7,szt
23,Nóż do wełny,ROCKWOOL,98,1,szt,,,,,,,,10,szt
24,Ubranie robocze,ROCKWOOL,99,1,szt,,,,,,,,10,szt
24,Ubranie robocze,ROCKWOOL,100,1,szt,,,,,,,,10,szt
24,Ubranie robocze,ROCKWOOL,101,1,szt,,,,,,,,10,szt
25,VENTIROCK PLUS,ROCKWOOL,102,1,M2,,,1000,600,,50,paczka,1,pełna paleta
25,VENTIROCK PLUS,ROCKWOOL,103,1,M2,,,1000,600,,60,paczka,1,pełna paleta
